Unnamed: 0,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,disbursement_method,debt_settlement_flag,issue_year,issue_month
6297,24000.0,24000.0,24000.0,36.0,6.99,740.95,A,A3,Owner- managing member,5.0,RENT,125000.0,Not Verified,n,credit_card,Credit card refinancing,100xx,NY,7.25,0.0,Oct-2002,710.0,714.0,3.0,10.0,0.0,35938.0,48.0,21.0,w,0.0,1.0,Individual,0.0,0.0,35938.0,0.0,0.0,0.0,0.0,26.0,0.0,,1.0,4.0,17391.0,48.0,74900.0,0.0,0.0,4.0,4.0,3594.0,38962.0,48.0,0.0,0.0,49.0,158.0,12.0,12.0,2.0,12.0,3.0,0.0,9.0,9.0,10.0,17.0,2.0,10.0,17.0,9.0,10.0,0.0,0.0,0.0,1.0,94.7,10.0,0.0,0.0,74900.0,35938.0,74900.0,0.0,N,Cash,N,2015,12
6543,19750.0,19750.0,19750.0,60.0,18.99,512.22,E,E1,PATIENT REGISTRATION SPECIALIST 2,10.0,RENT,42988.0,Source Verified,n,credit_card,Credit card refinancing,982xx,WA,38.82,1.0,Oct-1998,680.0,684.0,0.0,8.0,0.0,28963.0,85.2,12.0,w,0.0,1.0,Individual,0.0,0.0,55509.0,0.0,2.0,0.0,0.0,31.0,26546.0,54.0,1.0,1.0,12481.0,67.0,34000.0,0.0,2.0,0.0,1.0,6939.0,47.0,99.8,0.0,0.0,167.0,206.0,12.0,12.0,0.0,12.0,,0.0,3.0,5.0,3.0,5.0,4.0,6.0,8.0,6.0,8.0,0.0,0.0,0.0,1.0,91.7,100.0,0.0,0.0,83314.0,55509.0,24800.0,49314.0,N,Cash,N,2015,12
9062,30000.0,30000.0,30000.0,36.0,18.49,1091.97,E,E2,Sr. IP Core Operations Engineer,1.0,MORTGAGE,94000.0,Verified,n,debt_consolidation,Debt consolidation,852xx,AZ,22.66,0.0,Feb-1997,690.0,694.0,3.0,36.0,0.0,14370.0,13.0,67.0,w,0.0,1.0,Individual,0.0,0.0,183140.0,10.0,2.0,3.0,8.0,4.0,56689.0,99.0,15.0,30.0,7076.0,26.0,110800.0,3.0,0.0,9.0,40.0,5087.0,58047.0,16.4,0.0,0.0,226.0,128.0,1.0,1.0,3.0,2.0,1.0,1.0,5.0,8.0,16.0,20.0,24.0,33.0,39.0,8.0,36.0,0.0,0.0,0.0,19.0,93.8,0.0,0.0,0.0,282686.0,71059.0,69400.0,58599.0,N,Cash,N,2015,12
4860,3000.0,3000.0,3000.0,36.0,11.48,98.9,B,B5,Owner ,10.0,MORTGAGE,48000.0,Source Verified,n,debt_consolidation,Debt consolidation,731xx,OK,4.13,0.0,Aug-2006,670.0,674.0,2.0,3.0,0.0,5182.0,45.9,13.0,f,0.0,1.0,Individual,0.0,0.0,5182.0,0.0,0.0,0.0,0.0,,0.0,,1.0,2.0,739.0,46.0,11300.0,0.0,0.0,4.0,2.0,1727.0,4261.0,14.8,0.0,0.0,,112.0,11.0,11.0,1.0,16.0,0.0,3.0,1.0,3.0,1.0,6.0,0.0,3.0,12.0,3.0,3.0,0.0,0.0,0.0,1.0,69.2,0.0,0.0,0.0,11300.0,5182.0,5000.0,0.0,N,Cash,N,2015,12
3521,32000.0,32000.0,32000.0,36.0,11.99,1062.71,C,C1,Sales Management,10.0,MORTGAGE,150000.0,Verified,n,debt_consolidation,Debt consolidation,782xx,TX,13.46,0.0,May-2002,695.0,699.0,1.0,20.0,1.0,34341.0,86.3,29.0,w,0.0,1.0,Individual,0.0,0.0,179132.0,2.0,11.0,3.0,6.0,3.0,91722.0,90.0,0.0,0.0,7384.0,89.0,39800.0,4.0,12.0,3.0,6.0,9428.0,2614.0,88.0,0.0,0.0,136.0,163.0,71.0,3.0,2.0,116.0,4.0,0.0,5.0,7.0,5.0,6.0,18.0,8.0,9.0,7.0,20.0,0.0,0.0,0.0,3.0,96.6,80.0,0.0,0.0,238740.0,126063.0,21800.0,102190.0,N,Cash,N,2015,12
9854,18000.0,18000.0,18000.0,36.0,7.89,563.15,A,A5,Field Superintendent ,0.0,MORTGAGE,80000.0,Not Verified,n,debt_consolidation,Debt consolidation,800xx,CO,19.72,0.0,Oct-2000,705.0,709.0,0.0,9.0,0.0,5910.0,22.9,39.0,w,0.0,1.0,Individual,0.0,0.0,44197.0,0.0,2.0,2.0,2.0,9.0,38287.0,85.0,2.0,4.0,4670.0,62.0,25800.0,0.0,0.0,2.0,6.0,5525.0,17995.0,24.4,0.0,0.0,155.0,182.0,7.0,7.0,2.0,7.0,9.0,1.0,3.0,4.0,5.0,15.0,10.0,7.0,27.0,4.0,9.0,0.0,0.0,0.0,4.0,97.4,20.0,0.0,0.0,70832.0,44197.0,23800.0,45032.0,N,Cash,N,2015,12
5442,7000.0,7000.0,7000.0,36.0,6.99,216.11,A,A3,Branch Manager,5.0,MORTGAGE,80000.0,Source Verified,n,debt_consolidation,Debt consolidation,940xx,CA,10.86,0.0,Feb-2001,740.0,744.0,0.0,14.0,0.0,16028.0,23.1,31.0,w,0.0,1.0,Individual,0.0,0.0,587844.0,3.0,2.0,2.0,3.0,4.0,15858.0,89.0,1.0,2.0,10469.0,37.0,69500.0,0.0,1.0,1.0,8.0,41989.0,26405.0,37.3,0.0,0.0,133.0,178.0,5.0,4.0,3.0,5.0,10.0,0.0,3.0,4.0,5.0,8.0,13.0,11.0,15.0,5.0,14.0,0.0,0.0,0.0,4.0,100.0,40.0,0.0,0.0,651059.0,31886.0,42100.0,17814.0,N,Cash,N,2015,12
526,27850.0,27850.0,27850.0,36.0,24.24,1096.15,F,F3,Senior Departmental Technician,10.0,MORTGAGE,55702.0,Verified,n,debt_consolidation,Debt consolidation,488xx,MI,26.18,1.0,Jul-1999,675.0,679.0,2.0,10.0,1.0,7657.0,95.7,27.0,w,0.0,1.0,Individual,0.0,0.0,170838.0,1.0,4.0,1.0,2.0,8.0,23309.0,55.0,2.0,2.0,1401.0,62.0,8000.0,0.0,16.0,7.0,4.0,17084.0,160.0,94.1,0.0,0.0,131.0,197.0,4.0,4.0,1.0,11.0,4.0,0.0,2.0,5.0,2.0,4.0,16.0,5.0,10.0,5.0,10.0,0.0,0.0,0.0,3.0,96.3,100.0,0.0,1.0,200521.0,30966.0,2700.0,42262.0,N,Cash,N,2015,12
5028,28000.0,28000.0,28000.0,36.0,5.32,843.22,A,A1,Sr. Marketing Manager,2.0,MORTGAGE,150000.0,Source Verified,n,credit_card,Credit card refinancing,917xx,CA,13.66,0.0,Jul-2002,695.0,699.0,0.0,19.0,0.0,78335.0,64.4,29.0,f,0.0,1.0,Individual,0.0,0.0,374643.0,1.0,2.0,1.0,3.0,7.0,12119.0,73.0,2.0,3.0,11401.0,65.0,121700.0,0.0,6.0,0.0,6.0,23415.0,33516.0,50.1,0.0,0.0,96.0,161.0,2.0,2.0,3.0,2.0,,0.0,8.0,11.0,10.0,10.0,6.0,16.0,20.0,11.0,19.0,0.0,0.0,0.0,3.0,100.0,30.0,0.0,0.0,509290.0,90454.0,67200.0,16590.0,N,Cash,N,2015,12
5574,1500.0,1500.0,1500.0,36.0,9.8,48.27,B,B3,Senior System Engineer,3.0,OWN,93000.0,Not Verified,n,other,Other,430xx,OH,33.4,1.0,Jan-1990,705.0,709.0,0.0,15.0,0.0,73411.0,89.9,31.0,w,0.0,1.0,Individual,0.0,0.0,332347.0,1.0,2.0,1.0,1.0,4.0,17712.0,77.0,0.0,1.0,20763.0,87.0,81700.0,0.0,0.0,0.0,2.0,22156.0,5546.0,92.4,0.0,0.0,243.0,307.0,19.0,4.0,3.0,19.0,,0.0,6.0,9.0,7.0,10.0,9.0,10.0,16.0,9.0,15.0,0.0,0.0,0.0,1.0,96.8,85.7,0.0,0.0,396354.0,97664.0,73300.0,23040.0,N,Cash,N,2015,12
